"","date","count"
"1",2020-12-12,63
"2",2020-12-13,98
"3",2020-12-14,137
"4",2020-12-15,150
"5",2020-12-16,144
"6",2020-12-17,139
"7",2020-12-18,112
"8",2020-12-19,110
"9",2020-12-20,68
"10",2020-12-21,102
"11",2020-12-22,157
"12",2020-12-23,123
"13",2020-12-24,114
"14",2020-12-25,40
"15",2020-12-26,47
"16",2020-12-27,59
"17",2020-12-28,53
"18",2020-12-29,85
"19",2020-12-30,107
"20",2020-12-31,72
"21",2021-01-01,95
"22",2021-01-02,83
"23",2021-01-03,56
"24",2021-01-04,72
"25",2021-01-05,111
"26",2021-01-06,112
"27",2021-01-07,76
"28",2021-01-08,210
"29",2021-01-09,170
"30",2021-01-10,118
"31",2021-01-11,93
"32",2021-01-12,106
"33",2021-01-13,111
"34",2021-01-14,106
"35",2021-01-15,148
"36",2021-01-16,129
"37",2021-01-17,99
"38",2021-01-18,66
"39",2021-01-19,100
"40",2021-01-20,104
"41",2021-01-21,145
"42",2021-01-22,65
"43",2021-01-23,65
"44",2021-01-24,53
"45",2021-01-25,77
"46",2021-01-26,91
"47",2021-01-27,89
"48",2021-01-28,80
"49",2021-01-29,96
"50",2021-01-30,73
"51",2021-01-31,30
"52",2021-02-01,31
"53",2021-02-02,53
"54",2021-02-03,37
"55",2021-02-04,69
"56",2021-02-05,70
"57",2021-02-06,39
"58",2021-02-07,29
"59",2021-02-08,38
"60",2021-02-09,35
"61",2021-02-10,44
"62",2021-02-11,33
"63",2021-02-12,36
"64",2021-02-13,23
"65",2021-02-14,31
"66",2021-02-15,31
"67",2021-02-16,44
"68",2021-02-17,55
"69",2021-02-18,49
"70",2021-02-19,91
"71",2021-02-20,39
"72",2021-02-21,45
"73",2021-02-22,39
"74",2021-02-23,42
"75",2021-02-24,94
"76",2021-02-25,92
"77",2021-02-26,78
"78",2021-02-27,29
"79",2021-02-28,40
"80",2021-03-01,41
"81",2021-03-02,43
"82",2021-03-03,47
"83",2021-03-04,41
"84",2021-03-05,41
"85",2021-03-06,23
"86",2021-03-07,27
"87",2021-03-08,35
"88",2021-03-09,47
"89",2021-03-10,37
"90",2021-03-11,57
"91",2021-03-12,28
"92",2021-03-13,9
